19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
12999  ,487.51  ,-2.5  ,474.346  ,2.87114e-004
29893  ,487.516  ,2.5  ,-474.343  ,2.87101e-004
29934  ,487.51  ,0  ,474.346  ,2.87099e-004
29886  ,487.516  ,0  ,-474.343  ,2.87099e-004
13001  ,486.827  ,-2.5  ,480.588  ,2.87049e-004
29895  ,486.832  ,2.5  ,-480.585  ,2.87038e-004
30921  ,500  ,2.5  ,-284.73  ,2.87029e-004
31230  ,500  ,-2.5  ,284.73  ,2.87026e-004
31221  ,500  ,5.58794e-008  ,284.73  ,2.87018e-004
31052  ,500  ,5.58794e-008  ,-284.73  ,2.87017e-004
30799  ,500  ,2.5  ,284.73  ,2.87011e-004
31059  ,500  ,-2.5  ,-284.73  ,2.87005e-004
31259  ,492.422  ,-2.5  ,399.09  ,2.86986e-004
30777  ,492.422  ,0  ,399.09  ,2.86971e-004
31025  ,492.422  ,0  ,-399.09  ,2.86971e-004
30942  ,492.422  ,2.5  ,-399.09  ,2.86969e-004
31521  ,484.844  ,-2.5  ,500  ,2.86900e-004
30216  ,484.844  ,2.5  ,-500  ,2.86889e-004
31513  ,484.844  ,5.58794e-008  ,500  ,2.86888e-004
30733  ,484.844  ,5.58794e-008  ,-500  ,2.86886e-004
30742  ,484.844  ,-2.5  ,-500  ,2.86884e-004
31491  ,484.844  ,2.5  ,500  ,2.86877e-004
240  ,500  ,-2.5  ,274.912  ,2.86859e-004
297  ,500  ,2.5  ,-274.912  ,2.86859e-004
31222  ,500  ,5.58794e-008  ,274.912  ,2.86850e-004
31058  ,500  ,5.58794e-008  ,-274.912  ,2.86848e-004
325  ,500  ,2.5  ,274.912  ,2.86842e-004
268  ,500  ,-2.5  ,-274.912  ,2.86838e-004
31258  ,492.422  ,-2.5  ,389.09  ,2.86786e-004
30776  ,492.422  ,0  ,389.09  ,2.86773e-004
31024  ,492.422  ,0  ,-389.09  ,2.86772e-004
30941  ,492.422  ,2.5  ,-389.09  ,2.86772e-004
31003  ,488.027  ,-2.5  ,-450.352  ,2.86744e-004
