19:54, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
167  ,-2.00326e+004  ,-7.36128e-001  ,-2.32705e+000  ,-3.92754e-001  ,7.72804e+000  ,2.23977e+000
168  ,-2.00081e+004  ,5.37632e-001  ,-1.90995e+000  ,-8.62561e-001  ,1.76238e+000  ,-3.90937e-001
169  ,-1.99999e+004  ,8.30734e-001  ,1.97518e+000  ,-1.13034e+000  ,1.25285e+000  ,1.25611e-003
170  ,-1.99921e+004  ,7.73127e+000  ,-2.84050e+000  ,-2.33993e+000  ,-5.66240e-001  ,4.30014e+000
171  ,-2.00015e+004  ,-1.92102e+000  ,-4.39174e+000  ,-1.13089e+000  ,-1.13909e+000  ,4.81200e+000
172  ,-1.99952e+004  ,3.05603e+000  ,4.30806e+000  ,-1.39472e+000  ,-3.68360e+000  ,6.46030e-001
173  ,-1.99928e+004  ,1.07117e+000  ,1.23508e+000  ,-2.71272e+000  ,-2.41170e+000  ,1.34549e+000
174  ,-1.99865e+004  ,-3.15735e-002  ,-1.15248e+000  ,-1.71620e+000  ,-1.45705e+000  ,6.19480e-001
175  ,-1.99529e+004  ,1.65422e+000  ,5.74066e+000  ,2.98835e+000  ,-1.06649e+001  ,-8.69986e-001
176  ,-1.99618e+004  ,3.41634e-001  ,7.18569e+000  ,3.40763e+000  ,-1.70936e+001  ,-1.84680e+000
177  ,-1.99713e+004  ,-3.37677e+000  ,8.83141e+000  ,3.27663e+000  ,-1.15187e+001  ,-3.83201e+000
178  ,-1.99864e+004  ,1.65469e+000  ,2.24144e+000  ,2.69654e+000  ,-2.67059e+000  ,-1.82971e+000
179  ,-1.99919e+004  ,-2.26046e+000  ,-8.89201e-002  ,-1.51185e+000  ,-2.61657e+000  ,2.61455e+000
180  ,-1.99657e+004  ,8.11578e-001  ,-1.21391e+000  ,-4.07595e+000  ,-3.97014e+000  ,-1.04047e+000
181  ,-1.99398e+004  ,-7.84717e-001  ,-2.98379e+000  ,3.60029e+000  ,-6.38640e+000  ,-1.00774e+000
182  ,-1.99071e+004  ,-1.22786e+000  ,2.91688e+000  ,2.40858e+000  ,-6.99341e+000  ,-4.08489e-001
