19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
147  ,-8.19778e+006  ,-6.92507e+003  ,-1.57739e+004  ,3.20931e+005  ,-6.20764e+005  ,3.65643e+004
148  ,-7.79276e+006  ,-1.79015e+003  ,-4.75821e+003  ,3.16456e+005  ,-6.47300e+005  ,3.98461e+004
149  ,-7.47028e+006  ,2.42632e+004  ,-1.45292e+004  ,3.00457e+005  ,-6.78241e+005  ,4.62908e+004
150  ,-7.08890e+006  ,1.97527e+004  ,-5.41281e+003  ,2.77617e+005  ,-7.17063e+005  ,4.68109e+004
151  ,-6.72677e+006  ,2.79811e+003  ,-4.50723e+003  ,2.61564e+005  ,-7.38364e+005  ,4.31915e+004
152  ,-6.41185e+006  ,-4.44634e+003  ,7.55134e+003  ,2.44473e+005  ,-7.58629e+005  ,5.27525e+004
153  ,-6.03267e+006  ,-4.20367e+003  ,5.50835e+003  ,1.56874e+005  ,-7.70884e+005  ,6.06316e+004
154  ,-5.64279e+006  ,-1.52669e+003  ,8.82224e+003  ,1.35324e+005  ,-7.87385e+005  ,6.46920e+004
155  ,-5.24917e+006  ,-5.84507e+003  ,4.12849e+002  ,1.78843e+005  ,-8.18494e+005  ,5.28763e+004
156  ,-4.87063e+006  ,8.27467e+003  ,4.71967e+003  ,1.64195e+005  ,-8.14463e+005  ,5.83107e+004
157  ,-4.54228e+006  ,2.84742e+004  ,1.92087e+004  ,1.32560e+005  ,-8.34946e+005  ,6.93661e+004
158  ,-4.11003e+006  ,2.18716e+004  ,7.04211e+003  ,1.20071e+005  ,-8.49172e+005  ,5.76956e+004
159  ,-3.74666e+006  ,6.36519e+003  ,-1.02213e+004  ,8.53979e+004  ,-8.46868e+005  ,5.16338e+004
160  ,-3.34377e+006  ,2.20637e+003  ,-2.11625e+004  ,7.09598e+004  ,-8.53017e+005  ,6.94519e+004
161  ,-2.84781e+006  ,1.63320e+004  ,-2.69169e+004  ,2.14265e+004  ,-8.38326e+005  ,4.89300e+004
162  ,-2.45504e+006  ,2.16328e+004  ,-2.35271e+003  ,-2.10431e+003  ,-8.15249e+005  ,6.62032e+004
163  ,-2.01738e+006  ,2.77063e+004  ,2.56552e+004  ,-2.23112e+004  ,-7.82795e+005  ,6.52810e+004
164  ,-1.56974e+006  ,3.10262e+004  ,6.87145e+004  ,-4.35731e+004  ,-7.37097e+005  ,6.74013e+004
165  ,-1.10471e+006  ,2.55485e+004  ,1.21218e+005  ,-6.48279e+004  ,-6.69127e+005  ,7.87972e+004
166  ,-7.49390e+005  ,3.97643e+004  ,1.09028e+005  ,-1.28938e+005  ,-5.83857e+005  ,5.80588e+004
167  ,-4.68203e+005  ,3.31261e+004  ,9.07361e+004  ,-1.50336e+005  ,-4.92291e+005  ,2.99226e+004
168  ,-2.52626e+005  ,3.78646e+003  ,7.40824e+004  ,-1.69734e+005  ,-3.74820e+005  ,3.58499e+004
169  ,-1.77371e+005  ,1.89539e+004  ,1.03849e+005  ,-1.03184e+005  ,-2.97052e+005  ,3.21203e+004
170  ,-9.09672e+004  ,-3.22582e+004  ,4.33256e+004  ,-1.25183e+005  ,-6.76826e+004  ,3.32500e+004
171  ,8.15752e+004  ,-5.36833e+005  ,-1.14152e+005  ,-2.45637e+005  ,7.97246e+004  ,-1.60608e+005
172  ,1.00653e+005  ,1.18117e+005  ,-8.69983e+004  ,-8.69627e+004  ,2.42064e+005  ,1.77645e+004
173  ,2.37499e+005  ,-9.21402e+003  ,-8.83282e+004  ,-1.55015e+005  ,3.76454e+005  ,-1.75612e+004
174  ,3.22634e+005  ,5.04904e+004  ,-6.11628e+004  ,-2.29009e+005  ,4.55948e+005  ,-2.55823e+004
175  ,6.00777e+005  ,1.88576e+004  ,-1.11918e+005  ,-2.80004e+005  ,5.44735e+005  ,-6.92952e+003
176  ,1.01758e+006  ,2.12534e+004  ,-8.10226e+004  ,-2.76449e+005  ,6.21829e+005  ,-1.86383e+004
177  ,1.49556e+006  ,2.32831e+004  ,-6.01331e+004  ,-3.14560e+005  ,6.49509e+005  ,-4.00954e+004
178  ,2.01937e+006  ,2.97789e+004  ,-1.95265e+004  ,-3.60539e+005  ,6.92989e+005  ,-5.58175e+004
179  ,2.55350e+006  ,3.51265e+004  ,4.68068e+003  ,-4.03534e+005  ,7.21402e+005  ,-6.65719e+004
180  ,3.16047e+006  ,4.46719e+004  ,9.21553e+003  ,-3.89924e+005  ,8.06066e+005  ,-7.44141e+004
181  ,3.64241e+006  ,2.89181e+004  ,4.36511e+004  ,-3.53481e+005  ,8.48537e+005  ,-6.45767e+004
182  ,4.20123e+006  ,4.33868e+004  ,-5.33343e+003  ,-4.86955e+005  ,8.34770e+005  ,-7.19853e+004
183  ,4.73769e+006  ,4.86044e+004  ,-1.91457e+004  ,-5.13335e+005  ,8.31698e+005  ,-6.06536e+004
184  ,5.26926e+006  ,7.00885e+004  ,-1.44514e+004  ,-5.07467e+005  ,8.40637e+005  ,-6.04267e+004
185  ,5.82215e+006  ,4.70345e+004  ,-2.35192e+004  ,-5.67835e+005  ,8.17976e+005  ,-5.69827e+004
186  ,6.34990e+006  ,4.79297e+004  ,-2.63344e+004  ,-5.95987e+005  ,8.02564e+005  ,-5.52730e+004
187  ,6.97639e+006  ,7.32187e+004  ,1.28884e+003  ,-5.50582e+005  ,8.00903e+005  ,-5.07066e+004
188  ,7.54558e+006  ,6.28826e+004  ,1.52532e+004  ,-5.76060e+005  ,7.80182e+005  ,-5.42054e+004
189  ,7.99083e+006  ,5.11042e+004  ,2.94772e+002  ,-6.36335e+005  ,7.59356e+005  ,-5.05840e+004
190  ,8.54339e+006  ,5.23886e+004  ,-1.40307e+004  ,-6.84109e+005  ,7.30359e+005  ,-4.93024e+004
191  ,9.07106e+006  ,5.41833e+004  ,-1.59563e+004  ,-7.06245e+005  ,7.09951e+005  ,-4.37196e+004
192  ,9.63684e+006  ,5.44675e+004  ,-9.02680e+003  ,-7.17067e+005  ,6.80255e+005  ,-4.60165e+004
193  ,1.01527e+007  ,5.14826e+004  ,-1.92345e+004  ,-7.27412e+005  ,6.53956e+005  ,-4.09713e+004
194  ,1.06890e+007  ,4.99764e+004  ,-1.44119e+004  ,-7.44483e+005  ,6.20792e+005  ,-3.79508e+004
195  ,1.12597e+007  ,5.23851e+004  ,-3.33609e+003  ,-7.49137e+005  ,5.84456e+005  ,-3.81507e+004
196  ,1.17710e+007  ,4.98737e+004  ,-7.97436e+003  ,-7.52498e+005  ,5.45437e+005  ,-3.38098e+004
197  ,1.23557e+007  ,5.26619e+004  ,4.91087e+003  ,-6.93328e+005  ,4.96588e+005  ,-4.08639e+004
